path,name,budget
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Food and Nutrition Service (5-84),[budget] Food and Nutrition Service (5-84),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 84, 'bureau_name': 'Food and Nutrition Service', '2019': 92586000, '2020': 114230000, '2021': 166567000, '2022': 192226000, '2023': 188602000, '2024': 161585000, 'name': 'Food and Nutrition Service', 'id': '5-84'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Food and Nutrition Service (5-84)/[budget] Supplemental Nutrition Assistance Program (5-84-3505),[budget] Supplemental Nutrition Assistance Program (5-84-3505),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 84, 'bureau_name': 'Food and Nutrition Service', 'account_code': 3505, 'account_name': 'Supplemental Nutrition Assistance Program', '2019': 63466000, '2020': 85642000, '2021': 134526000, '2022': 148514000, '2023': 148320000, '2024': 122539000, 'name': 'Supplemental Nutrition Assistance Program', 'id': '5-84-3505'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Food and Nutrition Service (5-84)/[budget] Commodity Assistance Program (5-84-3507),[budget] Commodity Assistance Program (5-84-3507),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 84, 'bureau_name': 'Food and Nutrition Service', 'account_code': 3507, 'account_name': 'Commodity Assistance Program', '2019': 385000, '2020': 668000, '2021': 1066000, '2022': 743000, '2023': 555000, '2024': 524000, 'name': 'Commodity Assistance Program', 'id': '5-84-3507'}"
"/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Food and Nutrition Service (5-84)/[budget] Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) (5-84-3510)","[budget] Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) (5-84-3510)","{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 84, 'bureau_name': 'Food and Nutrition Service', 'account_code': 3510, 'account_name': 'Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)', '2019': 5314000, '2020': 5011000, '2021': 5026000, '2022': 5610000, '2023': 5759000, '2024': 6310000, 'name': 'Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)', 'id': '5-84-3510'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Animal and Plant Health Inspection Service (5-32),[budget] Animal and Plant Health Inspection Service (5-32),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 32, 'bureau_name': 'Animal and Plant Health Inspection Service', '2019': 1303000, '2020': 1390000, '2021': 1429000, '2022': 1881000, '2023': 2056000, '2024': 1865000, 'name': 'Animal and Plant Health Inspection Service', 'id': '5-32'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Rural Utilities Service (5-60),[budget] Rural Utilities Service (5-60),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 60, 'bureau_name': 'Rural Utilities Service', '2019': 4006000, '2020': 5124000, '2021': 2594000, '2022': 2207000, '2023': 3539000, '2024': 2695000, 'name': 'Rural Utilities Service', 'id': '5-60'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Rural Utilities Service (5-60)/[budget] Rural Water and Waste Disposal Program (5-60-1980),[budget] Rural Water and Waste Disposal Program (5-60-1980),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 60, 'bureau_name': 'Rural Utilities Service', 'account_code': 1980, 'account_name': 'Rural Water and Waste Disposal Program', '2019': 594000, '2020': 698000, '2021': 561000, '2022': 891000, '2023': 1114000, '2024': 951000, 'name': 'Rural Water and Waste Disposal Program', 'id': '5-60-1980'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Rural Utilities Service (5-60)/[budget] Rural Electrification and Telecommunications Loans Program (5-60-1230),[budget] Rural Electrification and Telecommunications Loans Program (5-60-1230),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 60, 'bureau_name': 'Rural Utilities Service', 'account_code': 1230, 'account_name': 'Rural Electrification and Telecommunications Loans Program', '2019': 1364000, '2020': 377000, '2021': 1407000, '2022': 617000, '2023': 1256000, '2024': 396000, 'name': 'Rural Electrification and Telecommunications Loans Program', 'id': '5-60-1230'}"
"/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Rural Utilities Service (5-60)/[budget] Distance Learning, Telemedicine, and Broadband Program (5-60-1232)","[budget] Distance Learning, Telemedicine, and Broadband Program (5-60-1232)","{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 60, 'bureau_name': 'Rural Utilities Service', 'account_code': 1232, 'account_name': 'Distance Learning, Telemedicine, and Broadband Program', '2019': 161000, '2020': 80000, '2021': 77000, '2022': 183000, '2023': 1182000, '2024': 1360000, 'name': 'Distance Learning, Telemedicine, and Broadband Program', 'id': '5-60-1232'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Economic Research Service (5-13),[budget] Economic Research Service (5-13),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 13, 'bureau_name': 'Economic Research Service', '2019': 82000, '2020': 69000, '2021': 80000, '2022': 88000, '2023': 106000, '2024': 100000, 'name': 'Economic Research Service', 'id': '5-13'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Rural Housing Service (5-63),[budget] Rural Housing Service (5-63),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 63, 'bureau_name': 'Rural Housing Service', '2019': 1745000, '2020': 2915000, '2021': 1831000, '2022': 1901000, '2023': 3064000, '2024': 3733000, 'name': 'Rural Housing Service', 'id': '5-63'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Rural Housing Service (5-63)/[budget] Multifamily Housing Revitalization Program (5-63-2002),[budget] Multifamily Housing Revitalization Program (5-63-2002),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 63, 'bureau_name': 'Rural Housing Service', 'account_code': 2002, 'account_name': 'Multifamily Housing Revitalization Program', '2019': 49000, '2020': 54000, '2021': 42000, '2022': 32000, '2023': 37000, '2024': 32000, 'name': 'Multifamily Housing Revitalization Program', 'id': '5-63-2002'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Rural Housing Service (5-63)/[budget] Rural Community Facilities Program (5-63-1951),[budget] Rural Community Facilities Program (5-63-1951),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 63, 'bureau_name': 'Rural Housing Service', 'account_code': 1951, 'account_name': 'Rural Community Facilities Program', '2019': 222000, '2020': 285000, '2021': 146000, '2022': 312000, '2023': 583000, '2024': 466000, 'name': 'Rural Community Facilities Program', 'id': '5-63-1951'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Rural Housing Service (5-63)/[budget] Rental Assistance Program (5-63-137),[budget] Rental Assistance Program (5-63-137),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 63, 'bureau_name': 'Rural Housing Service', 'account_code': 137, 'account_name': 'Rental Assistance Program', '2019': 1193000, '2020': 1153000, '2021': 1346000, '2022': 1337000, '2023': 1820000, '2024': 1689000, 'name': 'Rental Assistance Program', 'id': '5-63-137'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Rural Housing Service (5-63)/[budget] Rural Housing Insurance Fund Program (5-63-2081),[budget] Rural Housing Insurance Fund Program (5-63-2081),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 63, 'bureau_name': 'Rural Housing Service', 'account_code': 2081, 'account_name': 'Rural Housing Insurance Fund Program', '2019': 679000, '2020': 1746000, '2021': 589000, '2022': 499000, '2023': 793000, '2024': 1673000, 'name': 'Rural Housing Insurance Fund Program', 'id': '5-63-2081'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Risk Management Agency (5-47),[budget] Risk Management Agency (5-47),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 47, 'bureau_name': 'Risk Management Agency', '2019': 11994000, '2020': 9895000, '2021': 6743000, '2022': 10868000, '2023': 17132000, '2024': 14723000, 'name': 'Risk Management Agency', 'id': '5-47'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Executive Operations (5-4),[budget] Executive Operations (5-4),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 4, 'bureau_name': 'Executive Operations', '2019': 129000, '2020': 150000, '2021': 170000, '2022': 150000, '2023': 728000, '2024': 321000, 'name': 'Executive Operations', 'id': '5-4'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Rural Development (5-55),[budget] Rural Development (5-55),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 55, 'bureau_name': 'Rural Development', '2019': 198000, '2020': 259000, '2021': 227000, '2022': 321000, '2023': 282000, '2024': 458000, 'name': 'Rural Development', 'id': '5-55'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Agricultural Research Service (5-18),[budget] Agricultural Research Service (5-18),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 18, 'bureau_name': 'Agricultural Research Service', '2019': 1208000, '2020': 1348000, '2021': 1496000, '2022': 1609000, '2023': 2175000, '2024': 2517000, 'name': 'Agricultural Research Service', 'id': '5-18'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Buildings and Facilities (5-19),[budget] Buildings and Facilities (5-19),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 19, 'bureau_name': 'Buildings and Facilities', '2019': 65000, '2020': 73000, '2021': 58000, '2022': 48000, '2023': 58000, '2024': 202000, 'name': 'Buildings and Facilities', 'id': '5-19'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Office of Inspector General (5-8),[budget] Office of Inspector General (5-8),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 8, 'bureau_name': 'Office of Inspector General', '2019': 90000, '2020': 97000, '2021': 98000, '2022': 100000, '2023': 138000, '2024': 127000, 'name': 'Office of Inspector General', 'id': '5-8'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Farm Service Agency (5-49),[budget] Farm Service Agency (5-49),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 49, 'bureau_name': 'Farm Service Agency', '2019': 23022000, '2020': 18711000, '2021': 12502000, '2022': 8445000, '2023': 10896000, '2024': 8179000, 'name': 'Farm Service Agency', 'id': '5-49'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Farm Service Agency (5-49)/[budget] Emergency Conservation Program (5-49-3316),[budget] Emergency Conservation Program (5-49-3316),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 49, 'bureau_name': 'Farm Service Agency', 'account_code': 3316, 'account_name': 'Emergency Conservation Program', '2019': 75000, '2020': 126000, '2021': 94000, '2022': 87000, '2023': 103000, '2024': 80000, 'name': 'Emergency Conservation Program', 'id': '5-49-3316'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Farm Service Agency (5-49)/[budget] Grassroots Source Water Protection Program (5-49-3304),[budget] Grassroots Source Water Protection Program (5-49-3304),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 49, 'bureau_name': 'Farm Service Agency', 'account_code': 3304, 'account_name': 'Grassroots Source Water Protection Program', '2019': 7000, '2020': 12000, '2021': 7000, '2022': 7000, '2023': 7000, '2024': 7000, 'name': 'Grassroots Source Water Protection Program', 'id': '5-49-3304'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Farm Service Agency (5-49)/[budget] Emergency Forest Restoration Program (5-49-171),[budget] Emergency Forest Restoration Program (5-49-171),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 49, 'bureau_name': 'Farm Service Agency', 'account_code': 171, 'account_name': 'Emergency Forest Restoration Program', '2019': 1000, '2020': 3000, '2021': 6000, '2022': 15000, '2023': 35000, '2024': 35000, 'name': 'Emergency Forest Restoration Program', 'id': '5-49-171'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Farm Service Agency (5-49)/[budget] Commodity Credit Corporation Export Loans Program (5-49-1336),[budget] Commodity Credit Corporation Export Loans Program (5-49-1336),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 49, 'bureau_name': 'Farm Service Agency', 'account_code': 1336, 'account_name': 'Commodity Credit Corporation Export Loans Program', '2019': 9000, '2020': 8000, '2021': 28000, '2022': 8000, '2023': 38000, '2024': 12000, 'name': 'Commodity Credit Corporation Export Loans Program', 'id': '5-49-1336'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Farm Service Agency (5-49)/[budget] Agricultural Credit Insurance Fund Program (5-49-1140),[budget] Agricultural Credit Insurance Fund Program (5-49-1140),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 49, 'bureau_name': 'Farm Service Agency', 'account_code': 1140, 'account_name': 'Agricultural Credit Insurance Fund Program', '2019': 374000, '2020': 513000, '2021': 689000, '2022': 566000, '2023': 1916000, '2024': 760000, 'name': 'Agricultural Credit Insurance Fund Program', 'id': '5-49-1140'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Farm Production and Conservation (5-25),[budget] Farm Production and Conservation (5-25),"{'budget_level': 'bureau', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 25, 'bureau_name': 'Farm Production and Conservation', '2019': 177000, '2020': 251000, '2021': 308000, '2022': 306000, '2023': 302000, '2024': 307000, 'name': 'Farm Production and Conservation', 'id': '5-25'}"
/US FEDERAL GOVERNMENT/[budget] Department of Agriculture (5)/[budget] Farm Production and Conservation (5-25)/[budget] Farm Production and Conservation Business Center (5-25-180),[budget] Farm Production and Conservation Business Center (5-25-180),"{'budget_level': 'account', 'agency_code': 5, 'agency_name': 'Department of Agriculture', 'bureau_code': 25, 'bureau_name': 'Farm Production and Conservation', 'account_code': 180, 'account_name': 'Farm Production and Conservation Business Center', '2019': 177000, '2020': 251000, '2021': 308000, '2022': 306000, '2023': 302000, '2024': 307000, 'name': 'Farm Production and Conservation Business Center', 'id': '5-25-180'}"
